Brand,Model,Engine_Size_L,Horsepower,Fuel_Type,Transmission,Mileage_kmpl,Showroom_Price_INR
Kia,Sonet,2.2,117.0,Electric,Manual,17.1,2300277.0
Kia,Carens,1.5,188.0,CNG,Manual,27.7,2022493.0
Volkswagen,Taigun,1.7,96.0,Diesel,Manual,,1627197.0
MG,Astor,1.0,113.0,Electric,Automatic,15.6,
MG,Astor,1.4,128.0,Petrol,Manual,23.4,1826062.0
,Baleno,1.6,176.0,Petrol,Manual,22.8,2104510.0
Kia,Sonet,,204.0,CNG,Automatic,23.1,2641188.0
Toyota,Glanza,1.8,130.0,CNG,Manual,26.4,1933322.0
Volkswagen,Polo,1.8,188.0,Diesel,Automatic,17.7,2185302.0
Maruti,Swift,1.7,131.0,CNG,Automatic,23.1,1990496.0
Honda,,2.2,210.0,Diesel,Automatic,25.3,2660750.0
Toyota,Innova,1.5,202.0,Petrol,Automatic,18.9,2088688.0
Maruti,Brezza,2.1,86.0,Electric,Automatic,14.5,2454701.0
Mahindra,XUV700,2.2,79.0,CNG,Automatic,26.7,1913196.0
Honda,Amaze,1.6,95.0,CNG,Automatic,27.2,
Mahindra,XUV700,2.1,119.0,Diesel,,22.0,1924135.0
Toyota,Innova,1.9,75.0,Petrol,Manual,22.2,1470496.0
Hyundai,i20,1.8,85.0,Petrol,Manual,24.7,1462000.0
Honda,Amaze,2.4,209.0,Petrol,Automatic,23.9,2349486.0
Tata,Altroz,1.9,115.0,Diesel,Automatic,19.7,2034283.0
Kia,Carens,2.2,83.0,Petrol,Automatic,18.2,1731848.0
Tata,Altroz,1.7,146.0,Diesel,Automatic,22.2,2034986.0
MG,Hector,1.5,79.0,CNG,Manual,17.8,1580407.0
Tata,Nexon,1.7,118.0,Diesel,Automatic,14.7,1920286.0
Kia,Sonet,1.6,156.0,CNG,Automatic,25.0,2110318.0
Toyota,Hyryder,1.3,119.0,Petrol,Automatic,18.8,1601017.0
MG,Astor,2.0,97.0,CNG,Manual,17.6,1667855.0
Honda,City,2.4,168.0,CNG,Automatic,25.2,2497367.0
Maruti,Swift,2.0,218.0,Petrol,Automatic,19.3,2309342.0
Volkswagen,Virtus,1.1,208.0,Petrol,Automatic,13.8,2027190.0
Mahindra,XUV300,1.4,,Petrol,Automatic,18.5,1494794.0
Honda,Amaze,1.6,101.0,Diesel,,17.1,1939095.0
Skoda,Slavia,2.2,,CNG,Automatic,20.7,2358070.0
Maruti,Swift,1.8,111.0,Electric,Manual,20.9,2255289.0
Volkswagen,Virtus,1.5,204.0,Petrol,Automatic,,2260063.0
Skoda,Superb,2.0,147.0,CNG,Automatic,18.6,2235834.0
MG,Comet,1.4,192.0,Diesel,Automatic,22.8,2339120.0
Toyota,Innova,2.3,158.0,Petrol,Automatic,12.2,2184130.0
Hyundai,i20,1.5,197.0,Electric,Automatic,25.6,2760957.0
MG,Astor,1.3,146.0,Petrol,Automatic,20.9,1739148.0
Kia,Carens,2.3,157.0,Diesel,Automatic,26.4,2272867.0
Hyundai,Creta,1.3,167.0,CNG,Automatic,24.2,2177189.0
Tata,Altroz,1.6,99.0,Diesel,Manual,25.0,1719595.0
Skoda,Kushaq,1.9,219.0,Electric,Automatic,16.9,3076431.0
Hyundai,Creta,2.5,122.0,CNG,Manual,25.6,2046515.0
Mahindra,XUV700,1.9,89.0,CNG,Manual,26.7,1731986.0
Kia,Carens,2.4,213.0,Diesel,Manual,21.4,2572494.0
Kia,,1.9,182.0,CNG,Manual,16.1,1965439.0
Skoda,Superb,2.4,177.0,,Automatic,14.1,2396819.0
Tata,Punch,1.7,90.0,Electric,Automatic,20.7,2399826.0
Hyundai,i20,1.5,121.0,Diesel,Automatic,12.9,1781244.0
Tata,Nexon,1.1,162.0,Diesel,Automatic,12.7,1858508.0
MG,Hector,1.9,85.0,Diesel,Manual,16.9,1575901.0
Skoda,Superb,2.4,195.0,CNG,Automatic,21.9,2365055.0
Toyota,Innova,,81.0,Petrol,Automatic,19.5,1590893.0
Tata,Nexon,1.2,90.0,Petrol,Manual,27.6,1583861.0
Kia,Carens,1.1,78.0,Diesel,Manual,20.2,1300067.0
Kia,Sonet,2.3,203.0,Petrol,Automatic,15.4,2406180.0
Volkswagen,Taigun,2.1,119.0,Electric,,26.4,2533975.0
Tata,Altroz,2.4,120.0,Electric,Manual,15.5,2533363.0
MG,Astor,1.6,120.0,Electric,Automatic,17.0,
,i20,1.6,204.0,CNG,Automatic,20.6,2243770.0
Skoda,Kushaq,2.5,145.0,Electric,Automatic,17.9,2696298.0
Hyundai,,2.1,91.0,Electric,Manual,24.5,2364075.0
Tata,Altroz,1.3,79.0,Electric,Manual,21.2,1961837.0
Toyota,Hyryder,1.1,,Diesel,Automatic,26.5,2319923.0
Toyota,Glanza,1.0,119.0,Petrol,Manual,13.1,1546703.0
Skoda,Slavia,1.6,202.0,Petrol,Manual,14.8,2120264.0
Tata,Nexon,1.3,75.0,Diesel,Automatic,20.7,1639252.0
Volkswagen,Taigun,2.3,92.0,Electric,Manual,14.8,2122775.0
Tata,Nexon,2.4,183.0,Petrol,Automatic,14.1,2285315.0
Mahindra,Scorpio,1.5,107.0,Electric,Manual,13.1,1993805.0
Tata,Punch,1.1,166.0,CNG,Manual,27.7,1857297.0
Kia,Sonet,,107.0,CNG,Automatic,12.6,1712003.0
Tata,Altroz,1.7,163.0,CNG,Automatic,13.7,2132404.0
Skoda,Kushaq,1.9,174.0,Diesel,Manual,15.0,2231128.0
Kia,Sonet,1.2,120.0,Diesel,Automatic,21.1,1759503.0
Hyundai,i20,2.0,87.0,Diesel,Automatic,27.2,2056288.0
Mahindra,Scorpio,1.5,150.0,Electric,Automatic,18.2,2407995.0
Honda,Elevate,1.7,106.0,Diesel,Manual,14.7,1750165.0
Maruti,Baleno,1.2,171.0,Electric,Manual,23.0,
Kia,Carens,2.3,190.0,CNG,Manual,25.1,2153725.0
Skoda,Superb,1.4,141.0,Petrol,Manual,,1714537.0
MG,Hector,1.6,165.0,Electric,Manual,15.8,2325767.0
Mahindra,XUV700,,166.0,CNG,Manual,21.5,1857611.0
Toyota,Innova,1.1,77.0,Electric,Manual,14.6,1850097.0
MG,Astor,2.4,84.0,Diesel,Automatic,25.0,1909812.0
Honda,Elevate,1.3,185.0,Electric,Manual,18.9,2361571.0
Tata,,2.1,178.0,Diesel,Manual,12.1,2043065.0
Maruti,Brezza,1.5,137.0,CNG,Manual,27.5,1719770.0
Tata,Punch,1.7,141.0,Petrol,Manual,22.1,1658148.0
Kia,Carens,2.0,140.0,Electric,Manual,15.9,2360198.0
Mahindra,Scorpio,2.3,155.0,Petrol,Automatic,21.3,2147613.0
Kia,Carens,1.2,88.0,Diesel,Automatic,22.8,1832637.0
Honda,Amaze,1.5,178.0,Diesel,Automatic,16.0,2216121.0
Maruti,Baleno,2.4,185.0,Diesel,Automatic,17.0,2412158.0
Hyundai,Creta,1.9,220.0,,Automatic,12.0,2958213.0
Honda,Elevate,1.8,153.0,Electric,Automatic,27.2,2662474.0
Hyundai,Venue,2.4,86.0,CNG,Manual,17.8,1850790.0
Kia,Seltos,2.4,90.0,Diesel,Manual,24.0,1937213.0
Hyundai,Creta,2.2,97.0,Petrol,Automatic,21.7,1738520.0
Mahindra,Scorpio,1.2,77.0,Petrol,Automatic,26.7,1450185.0
Mahindra,XUV300,1.2,114.0,Electric,Manual,25.9,2254154.0
Volkswagen,Taigun,1.1,,Electric,Manual,25.2,2517449.0
Maruti,Brezza,2.0,162.0,Petrol,Manual,16.9,1924230.0
Maruti,Brezza,2.3,168.0,Petrol,Manual,21.5,2023012.0
Kia,Sonet,1.4,142.0,Petrol,Manual,12.0,1786232.0
,Punch,,143.0,Petrol,Manual,23.2,1885430.0
Volkswagen,Taigun,1.2,90.0,Diesel,Automatic,21.2,1576441.0
Maruti,Swift,1.6,187.0,Petrol,Manual,14.3,2097311.0
Skoda,Superb,1.0,131.0,Petrol,Automatic,23.1,1765058.0
